2023-12-09 01:42:56.2895|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 5440, Km: 245, M: 238 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-09 01:42:56.2977|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 5440, Km: 245, M: 826 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-09 03:39:26.0233|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6130, Km: 36, M: 897 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-09 03:49:47.5492|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402237 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5519|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402238 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5519|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402239 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5519|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402240 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5557|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402241 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5557|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402242 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5557|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402243 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402244 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402245 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402246 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402254 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402255 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402256 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402257 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402258 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402259 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402260 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402261 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5637|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402263 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402264 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402265 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402266 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402267 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402270 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402271 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5679|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402274 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402275 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402276 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402277 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402282 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402283 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402284 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5719|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402288 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5758|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402289 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.5758|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402290 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-09 03:49:47.6481|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 402295 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
